,FID,SHAPE,date,end_,id,latitude,longitude,start,title,total_atte,type,service_area,num_vehicles,av_ratio,dist_to_highway
559,560,"{'x': -13042761.423327971, 'y': 3858623.861433023, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-23,14:00:00,48994,32.723223408,-117.165119337,08:00:00,the mercato: little italys farmers market (sat.),1900,farmers,6118265.019780207,11317,0.16788901652381374,75.0313837749232
560,561,"{'x': -13038910.994240157, 'y': 3861859.2056865613, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-21,19:30:00,48720,32.747671015,-117.130530344,15:00:00,north park thursday market,970,farmers,12774562.873029292,31473,0.030820067994789185,731.3271746915706
561,562,"{'x': -13052136.37936944, 'y': 3861611.779944611, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-20,20:00:00,48617,32.7458016,-117.249336,16:00:00,ocean beach certified farmers market (wednesdays),1260,farmers,14740217.129992394,20094,0.06270528515974919,1566.9671029093863
562,563,"{'x': -13043043.411516836, 'y': 3857931.9821863216, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-20,14:00:00,48566,32.7179944103,-117.16765248,11:00:00,curbside bites food truck markets (wed. lunch),325,farmers,4298519.824469306,13895,0.023389708528247573,681.5842924127222
563,564,"{'x': -13052584.864224503, 'y': 3868373.889554349, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-19,19:00:00,49058,32.7968783228,-117.253364808,14:00:00,pacific beach tuesday farmers market,860,farmers,7806613.857444158,17105,0.050277696579947385,3518.148485914488
564,565,"{'x': -13046077.080261182, 'y': 3862535.407309844, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-17,16:30:00,49154,32.7527798284,-117.19490439,09:00:00,old town artisans market,1100,farmers,7576696.002125137,3894,0.2824858757062147,268.1369164999178
565,566,"{'x': -13041065.299787676, 'y': 3861974.049583184, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-17,14:00:00,48854,32.7485387,-117.1498828,09:00:00,2017 hillcrest farmers market (sundays),2400,farmers,7426803.890344882,15577,0.15407331321820633,536.5619557145646
566,567,"{'x': -13036483.790296791, 'y': 3865857.7749584867, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-16,20:00:00,49976,32.7778766,-117.1087264,17:00:00,holiday in the hills (paradise hills),350,festival,44347371.785352096,57101,0.006129489851316089,77.19667119707738
567,568,"{'x': -13040872.42763793, 'y': 3862447.0644043507, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-16,18:00:00,49601,32.7521124,-117.1481502,14:00:00,hillcrest car show,270,festival,17633268.38877812,35684,0.007566416321040242,688.500109858989
568,569,"{'x': -13052502.411102187, 'y': 3861878.487738315, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-16,16:00:00,49521,32.7478166981,-117.252624119,09:00:00,ocean beach town council craft fair,200,farmers,2360713.1407817355,6030,0.03316749585406302,1711.7610606430737
569,570,"{'x': -13035717.125505293, 'y': 3861900.3006758774, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-16,13:00:00,48772,32.7479815027,-117.101839333,09:00:00,city heights farmers market (every saturday),600,farmers,6943618.5271911435,14732,0.040727667662231876,631.7913566465563
570,571,"{'x': -13046077.080261182, 'y': 3862535.407309844, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-16,16:30:00,49153,32.7527798284,-117.19490439,09:00:00,old town artisans market,1100,farmers,6713104.661568643,3739,0.2941963091735758,268.1369164999178
571,572,"{'x': -13042761.423327971, 'y': 3858623.861433023, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-16,14:00:00,48993,32.723223408,-117.165119337,08:00:00,the mercato: little italys farmers market (sat.),1900,farmers,6118265.019780207,11317,0.16788901652381374,75.0313837749232
572,573,"{'x': -13034478.540322931, 'y': 3892479.1667939434, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-16,13:00:00,49325,32.9787156818,-117.090712933,07:30:00,san diego holiday half marathon,3600,athletic,17832211.620721195,13837,0.26017200260172,325.85305646637215
573,574,"{'x': -13038910.994240157, 'y': 3861859.2056865613, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",2017-12-14,19:30:00,48719,32.747671015,-117.130530344,15:00:00,north park thursday market,970,farmers,12774562.873029292,31473,0.030820067994789185,731.3271746915706
